MarcusMariota|TEN|1|158.3|13|16|81.3|209|209.0|13.1|4|0|2|209|209.0|3.0|4|2|24|0|0
TomBrady|NWE|1|143.8|25|32|78.1|288|288.0|9.0|4|0|3|288|288.0|0.3|4|2|7|0|0
AaronRodgers|GNB|1|140.5|18|23|78.3|189|189.0|8.2|3|0|8|189|189.0|4.4|3|0|0|0|0
TyrodTaylor|BUF|1|123.8|14|19|73.7|195|195.0|10.3|1|0|9|195|195.0|4.6|1|0|0|1|0
CarsonPalmer|ARI|1|122.8|19|32|59.4|307|307.0|9.6|3|0|3|307|307.0|4.7|3|0|0|0|0
AlexSmith|KAN|1|118.6|22|33|66.7|243|243.0|7.4|3|0|9|243|243.0|1.7|3|2|10|0|0
AndyDalton|CIN|1|115.9|25|34|73.5|269|269.0|7.9|2|0|4|269|269.0|0.3|2|0|0|0|0
NickFoles|STL|1|115.8|18|27|66.7|297|297.0|11.0|1|0|4|297|297.0|2.8|1|2|21|2|2
TonyRomo|DAL|1|103.3|36|45|80.0|356|356.0|7.9|3|2|1|356|356.0|-1.0|3|0|0|0|0
PhilipRivers|SDG|1|102.8|35|42|83.3|404|404.0|9.6|2|2|2|404|404.0|-1.0|2|2|16|0|0
RyanFitzpatrick|NYJ|1|95.7|15|24|62.5|179|179.0|7.5|2|1|2|179|179.0|-0.5|2|0|0|1|0
BenRoethlisberger|PIT|1|95.4|26|38|68.4|351|351.0|9.2|1|1|0|351|351.0|N/A|1|2|13|0|0
RyanTannehill|MIA|1|93.5|22|34|64.7|226|226.0|6.6|1|0|3|226|226.0|2.3|1|3|44|1|1
MattMcGloin|OAK|1|91.1|23|31|74.2|142|142.0|4.6|2|1|0|142|142.0|N/A|2|2|20|1|1
RussellWilson|SEA|1|90.1|32|41|78.0|251|251.0|6.1|1|1|8|251|251.0|3.9|1|6|32|0|0
MattRyan|ATL|1|90.1|23|34|67.6|298|298.0|8.8|2|2|5|298|298.0|1.4|2|1|8|0|0
MatthewStafford|DET|1|83.5|19|30|63.3|246|246.0|8.2|2|2|1|246|246.0|-1.0|2|1|13|0|0
DrewBrees|NOR|1|83.2|30|48|62.5|355|355.0|7.4|1|1|1|355|355.0|3.0|1|2|1|0|0
ColinKaepernick|SFO|1|83.0|17|26|65.4|165|165.0|6.3|0|0|7|165|165.0|5.9|0|1|0|0|0
TeddyBridgewater|MIN|1|79.0|23|32|71.9|231|231.0|7.2|0|1|3|231|231.0|5.3|0|5|54|0|0
SamBradford|PHI|1|77.1|36|52|69.2|336|336.0|6.5|1|2|0|336|336.0|N/A|1|0|0|0|0
JohnnyManziel|CLE|1|75.3|13|24|54.2|182|182.0|7.6|1|1|5|182|182.0|7.0|1|3|14|2|2
BrianHoyer|HOU|1|72.7|18|34|52.9|236|236.0|6.9|1|1|0|236|236.0|N/A|1|4|29|1|1
CamNewton|CAR|1|71.3|18|31|58.1|175|175.0|5.6|1|1|14|175|175.0|2.5|1|2|17|0|0
EliManning|NYG|1|70.7|20|36|55.6|193|193.0|5.4|0|0|1|193|193.0|8.0|0|1|3|0|0
KirkCousins|WAS|1|68.8|21|31|67.7|196|196.0|6.3|1|2|2|196|196.0|-0.5|1|1|8|1|0
JayCutler|CHI|1|67.5|18|36|50.0|225|225.0|6.3|1|1|4|225|225.0|7.8|1|2|12|0|0
JameisWinston|TAM|1|64.0|16|33|48.5|210|210.0|6.4|2|2|6|210|210.0|3.0|2|4|29|2|0
AndrewLuck|IND|1|63.6|26|49|53.1|243|243.0|5.0|2|2|4|243|243.0|5.0|2|2|3|0|0
PeytonManning|DEN|1|59.9|24|40|60.0|175|175.0|4.4|0|1|1|175|175.0|-1.0|0|4|25|0|0
BlakeBortles|JAC|1|54.5|22|40|55.0|183|183.0|4.6|1|2|4|183|183.0|6.5|1|5|14|0|0
JoeFlacco|BAL|1|38.2|18|32|56.3|117|117.0|3.7|0|2|0|117|117.0|N/A|0|2|17|0|0
